day_num,date,day_of_week,raw_count,eod_balance,avg_to_date,median_to_date,net_days_over_ten,net_lower_10,net_upper_10,net_lower,net_upper,weekly_rolling_avg,monthly_rolling_avg,quarterly_rolling_avg,notes
1,2026-01-01,Thursday,5754,-4246,5754,5754,-1,1,-1,-3,-1,5754,5754,5754,
2,2026-01-02,Friday,9358,-4888,7556,7556,-2,2,-2,-2,-2,7556,7556,7556,
3,2026-01-03,Saturday,13083,-1805,9398,9358,-1,3,-3,-1,1,9398,9398,9398,
4,2026-01-04,Sunday,12512,707,10176,10935,0,4,-4,0,4,10176,10176,10176,
5,2026-01-05,Monday,10443,1150,10230,10443,1,5,-5,1,3,10230,10230,10230,
6,2026-01-06,Tuesday,6059,-2791,9534,9900,0,6,-6,-2,2,9534,9534,9534,
7,2026-01-07,Wednesday,14586,1795,10256,10443,1,7,-7,-1,5,10256,10256,10256,
8,2026-01-08,Thursday,13173,4968,10621,11477,2,8,-8,0,8,11316,10621,10621,
9,2026-01-09,Friday,7795,2763,10307,10443,1,9,-9,1,7,11093,10307,10307,
10,2026-01-10,Saturday,7200,-37,9996,9900,0,10,-10,-2,6,10252,9996,9996,
11,2026-01-11,Sunday,10201,164,10014,10201,1,11,-11,-1,5,9922,10014,10014,
12,2026-01-12,Monday,15452,5616,10468,10322,2,12,-2,0,8,10638,10468,10468,
13,2026-01-13,Tuesday,3494,-890,9931,10201,1,3,-3,-3,7,10271,9931,9931,
14,2026-01-14,Wednesday,10813,-77,9994,10322,2,4,-4,-2,6,9732,9994,9994,
15,2026-01-15,Thursday,8206,-1871,9875,10201,1,5,-5,-1,5,9023,9875,9875,
16,2026-01-16,Friday,13998,2127,10132,10322,2,6,-6,0,8,9909,10132,10132,
17,2026-01-17,Saturday,8164,291,10017,10201,1,7,-7,1,7,10046,10017,10017,
18,2026-01-18,Sunday,6020,-3689,9795,9779,0,8,-8,-2,6,9449,9795,9795,
19,2026-01-19,Monday,15484,1795,10094,10201,1,9,1,-1,9,9454,10094,10094,
20,2026-01-20,Tuesday,4521,-3684,9815,9779,0,0,0,-4,8,9600,9815,9815,
21,2026-01-21,Wednesday,10668,-3016,9856,10201,1,1,-1,-3,7,9580,9856,9856,
22,2026-01-22,Thursday,13897,881,10040,10322,2,2,-2,-2,10,10393,10040,10040,
23,2026-01-23,Friday,5623,-3496,9848,10201,1,3,-3,-5,9,9196,9848,9848,
24,2026-01-24,Saturday,7664,-5832,9757,9779,0,4,-4,-4,8,9125,9757,9757,
25,2026-01-25,Sunday,5819,-10013,9599,9358,-1,5,-5,-7,7,9096,9599,9599,
26,2026-01-26,Monday,4069,-15944,9386,8782,-2,-4,-6,-10,6,7465,9386,9386,
27,2026-01-27,Tuesday,2648,-23296,9137,8206,-3,-13,-7,-13,5,7198,9137,9137,
28,2026-01-28,Wednesday,11437,-21859,9219,8782,-2,-12,-8,-12,4,7308,9219,9219,
29,2026-01-29,Thursday,12533,-19326,9333,9358,-1,-11,-9,-11,7,7113,9461,9333,
30,2026-01-30,Friday,5881,-23445,9218,8782,-2,-10,-10,-14,6,7150,9337,9218,
31,2026-01-31,Saturday,2833,-30612,9012,8206,-3,-19,-11,-17,5,6460,8971,9012,
32,2026-02-01,Sunday,2529,-38083,8809,8185,-4,-28,-12,-20,4,5990,8614,8809,
33,2026-02-02,Monday,2321,-45762,8613,8164,-5,-37,-13,-23,3,5740,8324,8613,
34,2026-02-03,Tuesday,5443,-50319,8520,7979,-6,-36,-14,-26,2,6139,8302,8520,
35,2026-02-04,Wednesday,11908,-48411,8616,8164,-5,-35,-15,-25,1,6206,8206,8616,
36,2026-02-05,Thursday,10368,-48043,8665,8185,-4,-34,-16,-24,0,5897,8106,8665,
37,2026-02-06,Friday,14349,-43694,8819,8206,-3,-33,-17,-23,3,7107,8340,8819,
38,2026-02-07,Saturday,12228,-41466,8908,8782,-2,-32,-18,-22,2,8449,8520,8908,
