units,tens,hundreds,thousands
4,5,7,5
8,5,3,9
3,8,0,13
2,1,5,12
3,4,4,10
9,5,0,6
6,8,5,14
3,7,1,13
5,9,7,7
0,0,2,7
1,0,2,10
2,5,4,15
4,9,4,3
3,1,8,10
6,0,2,8
8,9,9,13
4,6,1,8
0,2,0,6
4,8,4,15
1,2,5,4
8,6,6,10
7,9,8,13
3,2,6,5
4,6,6,7
9,1,8,5
9,6,0,4
8,4,6,2
7,3,4,11
3,3,5,12
1,8,8,5
3,3,8,2
9,2,5,2
1,2,3,2
3,4,4,5
8,0,9,11
8,6,3,10
9,4,3,14
8,2,2,12
4,5,0,11
3,1,7,12
4,5,2,4
1,6,1,3
8,1,0,10
3,5,9,3
7,0,9,13
8,1,1,11
5,6,4,2
7,5,4,3
8,0,8,11
3,4,3,12
5,6,4,10
9,1,7,13
5,9,8,12
4,9,1,11
3,0,9,10
1,6,2,20
7,8,5,12
2,7,2,15
2,5,2,7
8,6,8,12
7,3,8,18
0,3,2,13
5,6,8,11
8,5,4,11
7,2,8,13
0,2,0,13
1,8,4,7
1,8,7,15
9,7,3,10
3,5,2,10
7,2,1,13
7,7,4,13
3,4,4,10
4,3,7,11
4,6,5,12
9,9,8,8
1,6,8,11
5,2,7,11
2,9,8,13
2,1,1,8
0,1,9,12
7,0,0,18
8,1,8,10
6,1,1,13
4,3,6,14
2,3,0,15
4,9,5,2
6,2,6,1
8,2,9,8
5,5,7,14
3,2,0,14
1,3,7,11
9,0,1,13
0,2,6,10
0,6,1,13
9,4,0,6
2,2,1,6
4,0,8,7
3,1,7,6
1,2,6,7
3,1,3,13
7,6,2,9
4,2,3,8
6,0,8,7
9,4,8,11
9,0,7,10
4,8,5,12
3,7,0,5
6,3,4,9
2,6,3,11
8,2,1,5
7,1,0,16
1,8,4,11
1,7,5,12
5,3,8,7
1,2,2,9
1,7,5,7
4,7,2,11
5,8,2,6
7,0,4,6
2,4,5,7
7,0,2,11
3,1,8,6
8,6,5,6
2,1,1,10
9,7,5,12
3,7,0,10
9,2,7,13
5,0,1,13
4,6,7,18
0,1,9,10
7,7,0,5
9,7,5,10
2,3,5,13
0,6,2,13
0,6,1,10
0,9,0,14
7,6,9,16
3,1,9,7
9,2,2,11
8,3,2,16
7,2,6,7
0,9,3,17
9,1,6,0
7,5,4,2
3,3,1,2
7,5,4,8
5,6,3,21
6,0,2,10
6,8,5,11
1,7,7,1
0,7,4,2
9,5,4,6
7,8,0,10
1,0,6,10
8,3,2,11
7,4,2,8
0,2,8,8
6,8,8,18
7,3,6,11
8,9,7,12
3,4,8,15
