raw_count,date,day_of_week
2321,2026-02-02,Monday
2465,2026-02-16,Monday
2529,2026-02-01,Sunday
2648,2026-01-27,Tuesday
2833,2026-01-31,Saturday
3161,2026-02-11,Wednesday
3457,2026-02-17,Tuesday
3494,2026-01-13,Tuesday
3953,2026-02-13,Friday
4069,2026-01-26,Monday
4254,2026-02-10,Tuesday
4521,2026-01-20,Tuesday
5443,2026-02-03,Tuesday
5623,2026-01-23,Friday
5754,2026-01-01,Thursday
5819,2026-01-25,Sunday
5881,2026-01-30,Friday
6020,2026-01-18,Sunday
6059,2026-01-06,Tuesday
7200,2026-01-10,Saturday
7252,2026-02-28,Saturday
7481,2026-03-08,Sunday
7664,2026-01-24,Saturday
7795,2026-01-09,Friday
8164,2026-01-17,Saturday
8206,2026-01-15,Thursday
9358,2026-01-02,Friday
10018,2026-02-12,Thursday
10201,2026-01-11,Sunday
10253,2026-03-11,Wednesday
10368,2026-02-05,Thursday
10379,2026-03-10,Tuesday
10443,2026-01-05,Monday
10465,2026-02-20,Friday
10668,2026-01-21,Wednesday
10813,2026-01-14,Wednesday
10903,2026-02-24,Tuesday
11054,2026-02-08,Sunday
11118,2026-02-15,Sunday
11194,2026-02-23,Monday
11437,2026-01-28,Wednesday
11458,2026-03-05,Thursday
11808,2026-02-18,Wednesday
11865,2026-03-04,Wednesday
11908,2026-02-04,Wednesday
12228,2026-02-07,Saturday
12343,2026-02-19,Thursday
12512,2026-01-04,Sunday
12533,2026-01-29,Thursday
12587,2026-02-26,Thursday
12713,2026-02-09,Monday
12868,2026-03-01,Sunday
12895,2026-02-22,Sunday
13020,2026-03-07,Saturday
13083,2026-01-03,Saturday
13173,2026-01-08,Thursday
13230,2026-03-03,Tuesday
13719,2026-02-21,Saturday
13827,2026-03-06,Friday
13897,2026-01-22,Thursday
13907,2026-02-14,Saturday
13998,2026-01-16,Friday
14349,2026-02-06,Friday
14586,2026-01-07,Wednesday
15272,2026-02-27,Friday
15452,2026-01-12,Monday
15484,2026-01-19,Monday
15781,2026-03-09,Monday
18837,2026-03-02,Monday
20261,2026-02-25,Wednesday
